task_id,baseline_len_chars,diverged_mtp2,diverged_mtp4,diverged_dflash4,diverged_nospec_repeat,first_div_char_mtp2,first_div_char_mtp4,first_div_char_dflash4,first_div_char_nospec_repeat
HumanEval/69,728,false,false,false,false,,,,
HumanEval/70,740,false,false,false,false,,,,
HumanEval/71,703,false,false,false,false,,,,
HumanEval/72,810,false,false,false,false,,,,
HumanEval/73,626,false,false,false,false,,,,
HumanEval/74,783,false,false,false,false,,,,
HumanEval/75,965,false,false,false,false,,,,
HumanEval/76,2901,true,true,true,false,479,828,828,
HumanEval/77,1286,true,true,true,false,869,874,874,
HumanEval/78,1049,false,false,false,false,,,,
HumanEval/79,690,false,false,false,false,,,,
HumanEval/80,577,false,false,false,false,,,,
HumanEval/81,1734,false,true,true,false,,1712,1712,
HumanEval/82,506,false,false,false,false,,,,
HumanEval/83,1258,true,true,true,false,536,261,261,
HumanEval/84,566,false,false,false,false,,,,
HumanEval/85,302,false,false,false,false,,,,
HumanEval/86,725,false,false,false,false,,,,
HumanEval/87,1236,false,false,false,false,,,,
HumanEval/88,884,false,false,false,false,,,,
HumanEval/89,910,false,false,false,false,,,,
HumanEval/90,756,false,false,false,false,,,,
HumanEval/91,1803,true,true,true,false,730,730,730,
HumanEval/92,688,false,false,false,false,,,,
HumanEval/93,1385,false,false,false,false,,,,
HumanEval/94,1071,false,false,false,false,,,,
HumanEval/95,1076,false,false,false,false,,,,
HumanEval/96,861,false,false,false,false,,,,
HumanEval/97,435,false,false,false,false,,,,
HumanEval/98,395,false,false,false,false,,,,
HumanEval/99,998,true,true,true,false,766,766,766,
HumanEval/100,816,false,false,false,false,,,,
HumanEval/101,532,false,false,false,false,,,,
HumanEval/102,577,false,false,false,false,,,,
HumanEval/103,701,true,false,false,false,597,,,
HumanEval/104,622,false,false,false,false,,,,
HumanEval/105,1305,true,true,true,false,1071,1071,1071,
HumanEval/106,762,false,false,false,false,,,,
HumanEval/107,942,false,false,false,false,,,,
HumanEval/108,975,false,false,false,false,,,,
HumanEval/109,1812,true,true,false,false,1364,1489,,
HumanEval/110,1205,false,false,false,false,,,,
HumanEval/111,1069,false,false,false,false,,,,
HumanEval/112,859,false,false,false,false,,,,
HumanEval/113,1599,false,false,false,false,,,,
HumanEval/114,565,false,false,false,false,,,,
HumanEval/115,1249,false,false,false,false,,,,
HumanEval/116,3057,true,true,true,false,643,1085,1085,
HumanEval/117,1081,false,false,false,false,,,,
HumanEval/118,1309,true,true,true,false,715,715,715,
HumanEval/119,1024,true,false,false,false,896,,,
HumanEval/120,753,false,false,false,false,,,,
HumanEval/121,402,false,false,false,false,,,,
HumanEval/122,655,false,false,false,false,,,,
HumanEval/123,1190,true,true,true,false,533,533,533,
HumanEval/124,1786,true,true,true,false,1238,1238,1238,
HumanEval/125,805,false,false,false,false,,,,
HumanEval/126,995,false,false,false,false,,,,
HumanEval/127,2491,true,true,true,false,939,1623,939,
HumanEval/128,724,true,false,false,false,441,,,
HumanEval/129,3540,true,true,true,false,2096,2096,2096,
HumanEval/130,2215,true,true,true,false,805,805,805,
HumanEval/131,440,false,false,false,false,,,,
HumanEval/132,3909,true,true,true,false,1324,736,736,
HumanEval/133,602,false,false,false,false,,,,
HumanEval/134,1401,true,true,true,false,737,737,737,
HumanEval/135,495,false,false,false,false,,,,
HumanEval/136,253,false,false,false,false,,,,
HumanEval/137,841,true,true,true,false,560,560,560,
HumanEval/138,709,false,false,false,false,,,,
HumanEval/139,542,true,false,false,false,399,,,
HumanEval/140,853,false,false,false,false,,,,
HumanEval/141,1561,true,false,false,false,1058,,,
HumanEval/142,829,false,false,false,false,,,,
HumanEval/143,1091,false,false,false,false,,,,
HumanEval/144,902,false,false,false,false,,,,
HumanEval/145,952,true,true,true,false,606,606,606,
HumanEval/146,773,false,false,false,false,,,,
HumanEval/147,1888,true,true,true,false,491,491,491,
HumanEval/148,390,true,true,true,false,40,40,40,
HumanEval/149,994,false,false,false,false,,,,
HumanEval/150,456,false,false,false,false,,,,
HumanEval/151,774,true,true,true,false,529,529,529,
HumanEval/152,860,true,false,false,false,831,,,
HumanEval/153,1474,false,false,false,false,,,,
HumanEval/154,787,false,true,true,false,,537,537,
HumanEval/155,469,false,false,false,false,,,,
HumanEval/156,737,true,true,true,false,381,381,381,
HumanEval/157,678,false,false,false,false,,,,
HumanEval/158,803,false,false,false,false,,,,
HumanEval/159,1279,false,false,false,false,,,,
HumanEval/160,1219,false,false,false,false,,,,
HumanEval/161,550,false,false,false,false,,,,
HumanEval/162,355,false,false,false,false,,,,
HumanEval/163,486,false,false,false,false,,,,
